10m_sample,Conductivity,Debit Riviere,Niveau Riviere,O2,Pression EF,Pression Pompe,Probe Tank Temperature,Pump Flow,Riverlab,Turbidity,day_sample,hour_sample,pH,timedate
False,596.0,NULL,NULL,8.5,0.658,1.807,23.5,993,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:34:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,2.004,23.5,996,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:35:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.643,23.5,1005,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:36:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.739,23.5,1015,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:39:00 GMT"
True,596.0,NULL,NULL,8.5,0.659,1.801,23.5,1007,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:40:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,1.894,23.5,997,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:42:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.924,23.5,986,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:43:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.946,23.5,1018,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:45:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.83,23.5,1001,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:46:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.924,23.5,992,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:47:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.728,23.5,1014,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:48:00 GMT"
False,596.0,NULL,NULL,8.5,0.657,1.923,23.5,982,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:49:00 GMT"
True,596.0,NULL,NULL,8.5,0.658,1.674,23.5,1007,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:50:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,1.77,23.5,1004,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:51:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.898,23.5,1027,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:52:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,1.954,23.5,982,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:54:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.711,23.5,1003,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:56:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,2.056,23.5,1004,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:57:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.719,23.5,1000,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:58:00 GMT"
False,596.0,NULL,NULL,8.5,0.659,1.939,23.5,988,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 19:59:00 GMT"
True,596.0,NULL,NULL,8.5,0.658,1.883,23.5,1004,Monticello,59.75,False,True,6.90625,"Thu, 05 Aug 2021 20:00:00 GMT"
False,596.0,NULL,NULL,8.5,0.658,1.974,23.5,993,Monticello,59.75,False,False,6.90625,"Thu, 05 Aug 2021 20:01:00 GMT"
